25,54,12,11,49,17,0,0,0
5,8,9,53,40,7,0,0,0
53,7,52,50,7,8,0,0,0
6,5,18,51,45,17,0,0,0
49,10,51,51,9,18,0,0,0
8,3,14,59,44,31,0,0,0
54,22,24,11,19,50,0,0,0
52,55,27,23,14,51,0,0,0
23,47,11,21,36,23,0,0,0
6,52,6,16,30,21,0,0,0
41,10,16,5,11,43,0,0,0
7,52,8,13,57,22,0,0,0
60,61,11,51,18,7,0,0,0
55,8,14,9,10,56,0,0,0
5,54,4,12,40,21,0,0,0
51,11,10,10,6,52,0,0,0
6,53,9,13,61,14,0,0,0
57,6,12,5,4,60,0,0,0
6,51,2,13,44,15,0,0,0
55,51,25,56,10,28,0,0,0
8,6,39,33,49,14,0,0,0
57,7,19,7,8,53,0,0,0
3,52,6,17,56,25,0,0,0
60,55,33,18,18,1,0,0,0
10,51,11,22,57,17,0,0,0
55,9,20,8,21,62,0,0,0
4,61,3,24,8,4,0,0,0
2,4,42,23,46,43,0,0,0
12,54,14,19,58,37,0,0,0
57,55,52,27,14,13,0,0,0
4,47,13,18,54,37,0,0,0
15,53,13,19,46,27,0,0,0
55,6,15,8,5,42,0,0,0
4,58,9,23,44,22,0,0,0
54,9,19,8,6,54,0,0,0
5,54,5,17,38,21,0,0,0
61,6,19,8,5,19,0,0,0
8,52,7,13,41,11,0,0,0
59,6,57,59,10,20,0,0,0
8,50,12,6,49,49,0,0,0
59,23,24,23,25,53,0,0,0
52,46,17,19,47,10,0,0,0
46,51,12,42,15,10,0,0,0
53,9,29,38,4,59,0,0,0
3,54,2,19,43,44,0,0,0
54,58,16,23,46,5,0,0,0
58,9,14,25,14,57,0,0,0
7,53,11,13,47,21,0,0,0
57,60,14,53,25,16,0,0,0
62,11,14,13,9,52,0,0,0
10,52,10,21,32,18,49,42,1
11,50,6,18,38,18,47,36,1
57,45,47,13,5,15,6,50,1
48,48,15,35,16,21,35,18,1
7,35,7,13,33,12,54,31,1
55,24,31,15,3,14,3,58,1
7,54,27,16,48,22,55,59,1
59,51,50,21,17,13,18,33,1
15,45,31,30,47,40,49,51,1
16,38,16,11,48,20,48,55,1
7,9,5,36,17,21,18,7,1
3,6,17,8,29,23,29,34,1
5,49,7,20,28,16,54,29,1
17,50,23,23,51,29,48,51,1
56,56,29,60,17,51,59,26,1
62,5,38,10,48,35,58,39,1
55,42,11,37,15,18,34,17,1
35,58,5,52,19,10,46,25,1
21,50,48,43,43,16,12,16,1
10,51,1,14,22,12,41,39,1
53,43,36,12,18,13,10,44,1
10,49,18,16,42,19,57,61,1
4,54,7,18,43,20,44,20,1
31,41,9,12,23,22,52,42,1
11,56,9,11,48,17,47,45,1
14,48,27,16,46,19,15,11,1
24,53,30,23,50,48,42,9,1
8,51,9,9,40,51,45,22,1
4,8,10,44,52,28,38,7,1
18,46,21,14,54,21,62,49,1
58,18,45,12,18,35,14,55,1
9,48,7,26,34,14,57,33,1
55,45,28,33,21,18,53,8,1
10,53,4,18,22,13,49,47,1
3,49,5,10,33,29,44,41,1
58,57,15,58,19,47,42,40,1
56,23,41,8,14,28,7,48,1
10,43,6,12,39,16,45,36,1
7,51,14,25,43,35,47,51,1
8,49,12,26,3,14,17,3,1
32,5,11,27,13,48,46,50,1
20,44,17,19,57,18,55,22,1
6,43,12,10,32,13,45,46,1
8,51,6,17,34,20,52,40,1
54,42,35,15,24,36,25,49,1
57,44,39,55,19,48,34,11,1
57,13,24,15,23,33,45,47,1
16,46,16,26,43,31,48,50,1
10,42,15,19,45,30,49,55,1
13,50,51,48,46,30,19,12,1
32,38,12,0,0,0,0,0,2
10,30,15,0,0,0,0,0,2
22,15,12,0,0,0,0,0,2
29,39,33,0,0,0,0,0,2
39,37,19,0,0,0,0,0,2
40,26,16,0,0,0,0,0,2
26,30,21,0,0,0,0,0,2
26,31,14,0,0,0,0,0,2
24,30,20,0,0,0,0,0,2
26,30,17,0,0,0,0,0,2
13,49,24,0,0,0,0,0,2
35,26,12,0,0,0,0,0,2
24,42,21,0,0,0,0,0,2
24,38,10,0,0,0,0,0,2
8,16,11,0,0,0,0,0,2
13,26,12,0,0,0,0,0,2
23,35,17,0,0,0,0,0,2
34,38,17,0,0,0,0,0,2
40,39,17,0,0,0,0,0,2
44,49,14,0,0,0,0,0,2
52,56,10,0,0,0,0,0,2
55,37,14,0,0,0,0,0,2
58,11,5,0,0,0,0,0,2
33,34,16,0,0,0,0,0,2
24,36,14,0,0,0,0,0,2
10,51,20,0,0,0,0,0,2
19,30,7,0,0,0,0,0,2
37,34,16,0,0,0,0,0,2
44,18,10,0,0,0,0,0,2
19,20,15,0,0,0,0,0,2
12,12,9,0,0,0,0,0,2
21,21,19,0,0,0,0,0,2
37,26,12,0,0,0,0,0,2
39,38,15,0,0,0,0,0,2
40,35,15,0,0,0,0,0,2
30,29,25,0,0,0,0,0,2
28,38,23,0,0,0,0,0,2
20,29,19,0,0,0,0,0,2
40,20,10,0,0,0,0,0,2
30,33,16,0,0,0,0,0,2
30,31,17,0,0,0,0,0,2
33,34,14,0,0,0,0,0,2
33,38,18,0,0,0,0,0,2
44,51,15,0,0,0,0,0,2
48,36,18,0,0,0,0,0,2
48,23,11,0,0,0,0,0,2
22,31,16,0,0,0,0,0,2
27,30,11,0,0,0,0,0,2
27,51,14,0,0,0,0,0,2
41,39,9,0,0,0,0,0,2
